Date,AAPL,MSFT,QQQ,SPY
12/3/2020,119.67622375488281,205.57180786132812,294.7476806640625,340.8435363769531
12/4/2020,119.00453186035156,205.68695068359375,295.94879150390625,343.78082275390625
12/7/2020,120.46471405029297,205.61978149414062,297.6245422363281,343.0743713378906
12/8/2020,121.0780029296875,207.27012634277344,298.63201904296875,344.0782470703125
12/9/2020,118.5470199584961,203.23049926757812,291.87,340.99224853515625
12/10/2020,119.96827697753906,202.0023193359375,293.04,340.88067626953125
12/11/2020,119.1603012084961,204.63143920898438,292.3937072753906,340.48101806640625
12/14/2020,118.5470199584961,205.5334014892578,294.51519775390625,338.95660400390625
12/15/2020,124.48507690429688,205.4662322998047,297.66,343.53924560546875
12/16/2020,124.41694641113281,210.40789794921875,299.3004150390625,344.0782470703125
12/17/2020,125.28330993652344,210.54220581054688,301.26,346.0023193359375
12/18/2020,123.2974853515625,209.74578857421875,300.3465576171875,344.62078857421875
12/21/2020,124.82579040527344,213.58392333984375,299.7845764160156,343.3885803222656
12/22/2020,128.37892150878906,214.8793182373047,300.59979248046875,342.8099060058594
12/23/2020,127.48335266113281,212.07748413085938,299.0859680175781,343.11785888671875
12/24/2020,128.4665069580078,213.73748779296875,300.4057312011719,344.4527282714844
12/28/2020,133.06118774414062,215.8580780029297,303.4333801269531,347.4118957519531
12/29/2020,131.28948974609375,215.08084106445312,303.70513916015625,346.7491149902344
12/30/2020,130.1700439453125,212.71075439453125,303.71,347.24383544921875
12/31/2020,129.1674041748047,213.4208221435547,304.46209716796875,349.0081787109375
1/4/2021,125.97444152832031,208.88223266601562,300.16302490234375,344.25677490234375
1/5/2021,127.53196716308594,209.08372497558594,302.6377258300781,346.6278076171875
1/6/2021,123.23905944824219,203.66229248046875,298.4455261230469,348.7001037597656
1/7/2021,127.44439697265625,209.4579315185547,305.6654968261719,353.88
1/8/2021,128.54437255859375,210.73414611816406,309.60,355.90
1/11/2021,125.55590057373047,208.69033813476562,305.1219482421875,353.4981994628906
1/12/2021,125.38066101074219,206.2338409423828,304.6367492675781,353.5728454589844
1/13/2021,127.41517639160156,207.58685302734375,306.69,354.5249938964844
1/14/2021,125.48773193359375,204.40115356445312,305.05401611328125,353.28
1/15/2021,123.76472473144531,204.05,302.6377258300781,350.71
1/19/2021,124.43640899658203,207.68275451660156,307.05,353.4608154296875
1/20/2021,128.52,215.26316833496094,314.19549560546875,358.35223388671875
1/21/2021,133.2364044189453,215.8676300048828,316.7088928222656,358.6789245605469
1/22/2021,135.37802124023438,216.80801391601562,315.7966613769531,357.41
1/25/2021,139.1257781982422,220.24,318.4071044921875,358.8189392089844
1/26/2021,139.35943603515625,222.9298553466797,318.8729553222656,358.2589416503906
1/27/2021,138.2886199951172,223.47679138183594,309.98382568359375,349.5028991699219
1/28/2021,133.4506072998047,229.26280212402344,311.8179626464844,352.5086669921875
1/29/2021,128.45677185058594,222.57484436035156,305.2579650878906,345.4515380859375
2/1/2021,130.57888793945312,229.9536895751953,312.8854675292969,351.2017517089844
2/2/2021,131.40631103515625,229.81936645507812,317.9898986816406,356.16790771484375
2/3/2021,130.38421630859375,233.16819763183594,316.72833251953125,356.45
2/4/2021,133.7425994873047,232.2182159423828,320.4742126464844,360.49920654296875
2/5/2021,133.32827758789062,232.4005126953125,321.5610046386719,361.91815185546875
2/8/2021,133.47454833984375,232.65960693359375,323.7154235839844,364.5318298339844
2/9/2021,132.59707641601562,233.90699768066406,323.6474304199219,364.2891540527344
2/10/2021,131.9926300048828,232.99546813964844,322.90997314453125,364.1304016113281
2/11/2021,131.73916625976562,234.5978546142578,324.69,364.7185363769531
2/12/2021,131.97311401367188,235.07762145996094,326.5005798339844,366.5202331542969
2/16/2021,129.84783935546875,233.83982849121094,325.62,366.2027587890625
2/17/2021,127.55677032470703,234.85928344726562,324.0550842285156,366.28680419921875
2/18/2021,126.4552001953125,234.4649658203125,322.6382141113281,364.7279052734375
2/19/2021,126.6111831665039,231.75283813476562,321.2310791015625,364.0837707519531
2/22/2021,122.83826446533203,225.5399169921875,312.9048767089844,361.2833557128906
2/23/2021,122.70179748535156,224.34738159179688,311.9732971191406,361.7220764160156
2/24/2021,122.20457458496094,225.57838439941406,314.54486083984375,365.70806884765625
2/25/2021,117.95398712158203,220.23109436035156,303.5790710449219,356.90
2/26/2021,118.21721649169922,223.4913787841797,304.8503112792969,355.05706787109375
3/1/2021,124.58336639404297,227.8769989013672,314.0209045410156,363.6637268066406
3/2/2021,121.9803695678711,224.92440795898438,308.9842834472656,360.8259582519531
3/3/2021,118.99714660644531,218.85577392578125,300.0175476074219,356.0465087890625
3/4/2021,117.11556243896484,218.05752563476562,295.11,351.6405334472656
3/5/2021,118.37319946289062,222.7412567138672,299.55,358.10955810546875
3/8/2021,113.44020080566406,218.6923065185547,291.0702209472656,356.3266296386719
3/9/2021,118.05146026611328,224.83782958984375,302.55035400390625,361.4140930175781
3/10/2021,116.96934509277344,223.52987670898438,301.6866760253906,363.6637268066406
3/11/2021,118.89965057373047,228.05970764160156,308.64,367.3509216308594
3/12/2021,117.99297332763672,226.73251342773438,306.13116455078125,367.84564208984375
3/15/2021,120.87870788574219,225.8284454345703,309.4015808105469,370.0393371582031
3/16/2021,122.41905212402344,228.61753845214844,311.0998229980469,369.5725402832031
3/17/2021,121.62940216064453,227.97,312.3808288574219,370.83282470703125
3/18/2021,117.50553894042969,221.8948974609375,302.8123779296875,365.4372863769531
3/19/2021,116.97908782958984,221.53907775878906,303.88,364.7611389160156
3/22/2021,120.29376220703125,226.9633331298828,309.58,367.6737365722656
3/23/2021,119.47,228.4925079345703,308.2279968261719,364.7798156738281
3/24/2021,117.07657623291016,226.45359802246094,303.0296630859375,362.93
3/25/2021,117.56404113769531,223.4529266357422,302.50494384765625,364.9671936035156
3/26/2021,118.16847229003906,227.43458557128906,307.04254150390625,370.8486633300781
3/29/2021,118.34395599365234,226.24200439453125,306.95513916015625,370.66131591796875
3/30/2021,116.89132690429688,222.98171997070312,305.41021728515625,369.67791748046875
3/31/2021,119.08489227294922,226.75173950195312,310.0838623046875,371.1763610839844
4/1/2021,119.9135513305664,233.08006286621094,315.3696594238281,375.1847839355469
4/5/2021,122.74079132080078,239.54298400878906,321.67,380.57
4/6/2021,123.04299926757812,238.3792724609375,321.4425354003906,380.3450622558594
4/7/2021,124.69059753417969,240.34124755859375,322.2197570800781,380.78521728515625
4/8/2021,127.08885955810547,243.56314086914062,325.5816955566406,382.59271240234375
4/9/2021,129.66261291503906,246.0636749267578,327.55,385.3742370605469
4/12/2021,127.94680786132812,246.12139892578125,327.12664794921875,385.5146789550781
4/13/2021,131.0567626953125,248.60269165039062,330.94525146484375,386.65728759765625
4/14/2021,128.7169647216797,245.81361389160156,326.97125244140625,385.3368225097656
4/15/2021,131.12501525878906,249.57408142089844,331.9266357421875,389.47625732421875
4/16/2021,130.7935028076172,250.76661682128906,332.3153076171875,390.7780456542969
4/19/2021,131.45643615722656,248.84310913085938,329.2740783691406,388.8581848144531
4/20/2021,129.76983642578125,248.38153076171875,326.8740539550781,386.0111389160156
4/21/2021,130.1501007080078,250.61273193359375,329.6724853515625,389.66
4/22/2021,128.6291961669922,247.3332061767578,325.6983642578125,386.1047668457031
4/23/2021,130.94949340820312,251.1610107421875,329.79876708984375,390.2910461425781
4/26/2021,131.33946228027344,251.54563903808594,331.94610595703125,391.1058044433594
4/27/2021,131.01771545410156,251.9495849609375,330.50811767578125,391.0215148925781
4/28/2021,130.2280731201172,244.82302856445312,329.3905944824219,390.90911865234375
4/29/2021,130.13059997558594,242.85140991210938,330.5760192871094,393.4002685546875
4/30/2021,128.16128540039062,242.53402709960938,328.40924072265625,390.81549072265625
5/3/2021,129.21414184570312,242.22625732421875,326.6602783203125,391.65838623046875
5/4/2021,124.64186096191406,238.3119659423828,320.78,389.2421569824219
5/5/2021,124.88558197021484,237.04,319.7032165527344,389.3638000488281
5/6/2021,126.48443603515625,240.1777801513672,322.1129455566406,392.4732360839844
5/7/2021,127.15827941894531,242.80335998535156,324.7267150878906,395.33
5/10/2021,123.87700653076172,237.72525024414062,316.5260009765625,391.4148864746094
5/11/2021,122.95904541015625,236.81163024902344,316.0887145996094,387.92
5/12/2021,119.89262390136719,229.85818481445312,307.90740966796875,379.68011474609375
5/13/2021,122.04107666015625,233.73403930664062,310.2879333496094,384.2409973144531
5/14/2021,124.46293640136719,238.65818786621094,317.1381530761719,390.1412048339844
5/17/2021,123.31059265136719,235.80178833007812,315.2142333984375,389.14849853515625
5/18/2021,121.92388916015625,233.7821044921875,313.08624267578125,385.79571533203125
5/19/2021,121.76764678955078,234.36050415039062,313.4457702636719,384.7842102050781
5/20/2021,124.32621765136719,237.59947204589844,319.5088806152344,388.9237365722656
5/21/2021,122.49028015136719,236.33665466308594,317.7405700683594,388.60528564453125
5/24/2021,124.12116241455078,241.7445068359375,323.0845947265625,392.5668640136719
5/25/2021,123.92581939697266,242.65065002441406,323.53155517578125,391.6958312988281
5/26/2021,123.87700653076172,242.42897033691406,324.6586608886719,392.4732360839844
5/27/2021,122.34380340576172,240.3275146484375,323.4441223144531,392.67926025390625
5/28/2021,121.68951416015625,240.68414306640625,324.46,393.38
6/1/2021,121.36722564697266,238.48629760742188,323.3858642578125,393.03509521484375
6/2/2021,122.12894439697266,238.39,324.02,393.6531982421875
6/3/2021,120.64458465576172,236.85719299316406,320.6457214355469,392.1921691894531
6/4/2021,122.93949890136719,241.75416564941406,326.0869445800781,395.77911376953125
6/7/2021,122.94927215576172,244.6653289794922,327.05865478515625,395.3951110839844
6/8/2021,123.76957702636719,243.47003173828125,327.21417236328125,395.47943115234375
6/9/2021,124.15042877197266,244.45327758789062,327.2918395996094,394.88946533203125
6/10/2021,123.15435791015625,247.9717559814453,330.7023620605469,396.7249450683594
6/11/2021,124.36528015136719,248.59837341308594,331.57,397.38067626953125
6/14/2021,127.4218978881836,250.52630615234375,334.7444152832031,398.27032470703125
6/15/2021,126.60163116455078,249.05142211914062,332.5581970214844,397.54
6/16/2021,127.09964752197266,248.1067352294922,331.34368896484375,395.3201599121094
6/17/2021,128.70120239257812,251.4999542236328,335.5508728027344,395.1891784667969
6/18/2021,127.40241241455078,250.0828399658203,332.92,389.86
6/21/2021,129.1992645263672,253.16758728027344,334.99,395.4390563964844
6/22/2021,130.8398895263672,255.9438018798828,338.10943603515625,397.5531311035156
6/23/2021,130.5664825439453,255.7124481201172,338.2747497558594,397.0739440917969
6/24/2021,130.28326416015625,257.08,340.36627197265625,399.4229431152344
6/25/2021,129.99024963378906,255.4715118408203,339.95,400.8418273925781
6/28/2021,131.6211395263672,259.0381774902344,344.0823059082031,401.64971923828125
6/29/2021,133.13482666015625,261.6215515136719,345.32745361328125,401.8659362792969
6/30/2021,133.7500457763672,261.1396179199219,344.78,402.20416259765625
7/1/2021,134.0528106689453,261.8143615722656,344.91888427734375,404.4309997558594
7/2/2021,136.67971801757812,267.64642333984375,348.8781433105469,407.5223388671875
7/6/2021,138.6914520263672,267.6560974121094,350.3859558105469,406.7799987792969
7/7/2021,141.1817169189453,269.84,351.1252746582031,408.2175598144531
7/8/2021,139.88287353515625,267.4247131347656,349.00457763671875,404.8914794921875
7/9/2021,141.70904541015625,267.9259338378906,351.18365478515625,409.2135009765625
7/12/2021,141.11329650878906,267.3283996582031,352.5552062988281,410.6793212890625
7/13/2021,142.2266387939453,270.8564147949219,352.5552062988281,409.2793273925781
7/14/2021,145.65435791015625,272.3312683105469,353.18756103515625,409.89007568359375
7/15/2021,145.00009155273438,270.9046630859375,350.7070007324219,408.4900207519531
7/16/2021,142.95904541015625,270.6347351074219,347.8664855957031,405.2860107421875
7/19/2021,139.11138916015625,267.02947998046875,345.01617431640625,399.3008728027344
7/20/2021,142.7246856689453,269.2562255859375,349.0240783691406,405.0229187011719
7/21/2021,141.99224853515625,271.2613220214844,351.7186584472656,408.3021240234375
7/22/2021,143.3594512939453,275.8304748535156,354.04364013671875,409.1572570800781
7/23/2021,145.07818603515625,279.23333740234375,358.1778869628906,413.36663818359375
7/26/2021,145.4981231689453,278.6357116699219,358.4600524902344,414.38
7/27/2021,143.33013916015625,276.2160949707031,354.51055908203125,412.4927673339844
7/28/2021,141.5820770263672,275.9076843261719,355.8723449707031,412.32354736328125
7/29/2021,142.2266387939453,276.17755126953125,356.5047607421875,414.0337219238281
7/30/2021,142.4414520263672,274.64483642578125,354.65,412.0230407714844
8/2/2021,142.10943603515625,274.5581359863281,354.6759338378906,411.15850830078125
8/3/2021,143.90628051757812,276.7752380371094,356.8257141113281,414.5035705566406
8/4/2021,143.50592041015625,276.1871643066406,357.34136962890625,412.4645080566406
8/5/2021,143.61334228515625,279.08880615234375,359.6079406738281,415.08
8/6/2021,142.9287567138672,279.0309143066406,358.03,415.76251220703125
8/9/2021,142.87985229492188,277.9416198730469,358.6934814453125,415.4243469238281
8/10/2021,142.40060424804688,276.12,356.85,415.9411315917969
8/11/2021,142.6548614501953,276.61138916015625,356.2420654296875,416.9745788574219
8/12/2021,145.61831665039062,279.3683166503906,357.5261535644531,418.22430419921875
8/13/2021,145.8236541748047,282.29876708984375,358.7810363769531,418.9853820800781
8/16/2021,147.79928588867188,283.9857482910156,358.93670654296875,419.9719543457031
8/17/2021,146.88975524902344,282.52044677734375,355.7751770019531,417.2189636230469
8/18/2021,143.14389038085938,280.7916564941406,352.3510437011719,412.6524963378906
8/19/2021,143.47640991210938,286.62518310546875,354.0533447265625,413.2914123535156
8/20/2021,144.93368530273438,293.9557189941406,357.7206726074219,416.5800476074219
8/23/2021,146.4202880859375,294.2358703613281,363.07098388671875,420.24444580078125
8/24/2021,146.3322296142578,292.2751770019531,364.17999267578125,420.9115905761719
8/25/2021,145.0999755859375,291.68609619140625,364.5982971191406,421.7947692871094
8/26/2021,144.29795837402344,288.86590576171875,362.2831115722656,419.3047790527344
8/27/2021,145.33468627929688,289.4743347167969,365.8045654296875,423.0538330078125
8/30/2021,149.75535583496094,293.2120666503906,369.9096984863281,424.9142150878906
8/31/2021,148.49368286132812,291.56048583984375,369.6081237792969,424.2847900390625
9/1/2021,149.15875244140625,291.51226806640625,370.22,424.5101623535156
9/2/2021,150.27371215820312,290.86,370.05,425.8162536621094
9/3/2021,150.90940856933594,290.8458251953125,371.1839904785156,425.7129211425781
9/7/2021,153.2469024658203,289.91864013671875,371.7092590332031,424.1907653808594
9/8/2021,151.70159912109375,289.94757080078125,370.41546630859375,423.67388916015625
9/9/2021,150.68447875976562,287.0887756347656,369.1412048339844,421.86053466796875
9/10/2021,145.69656372070312,285.6014099121094,366.3395690917969,418.5343933105469
9/13/2021,146.26380920410156,286.8376770019531,366.08660888671875,419.61
9/14/2021,144.86521911621094,289.54193115234375,365.04583740234375,417.3410339355469
9/15/2021,145.7552032470703,294.4000244140625,367.75982666015625,420.8270263671875
9/16/2021,145.52047729492188,294.78631591796875,368.0127868652344,420.16
9/17/2021,142.8504638671875,289.6192626953125,363.6546630859375,416.06707763671875
9/20/2021,139.79905700683594,284.2395935058594,356.1403503417969,409.1295471191406
9/21/2021,140.2782440185547,284.7225036621094,356.58,408.7430419921875
9/22/2021,142.6450958251953,288.3733215332031,359.91,412.7302551269531
9/23/2021,143.60353088378906,289.3197937011719,363.2301330566406,417.74493408203125
9/24/2021,143.6915740966797,289.1169738769531,363.57086181640625,418.4330139160156
9/27/2021,142.17564392089844,284.1141357421875,360.6688232421875,417.2359619140625
9/28/2021,138.7917022705078,273.8280944824219,350.4627990722656,408.83
9/29/2021,139.6914520263672,274.2917785644531,349.8882141113281,409.51593017578125
9/30/2021,138.39068603515625,272.2828674316406,348.6026611328125,404.51068115234375
10/1/2021,139.52,279.2174377441406,350.7647399902344,409.3179931640625
10/4/2021,136.08255004882812,273.4320983886719,343.40,404.03948974609375
10/5/2021,138.01,278.88909912109375,348.0378723144531,408.24
10/6/2021,138.87969970703125,283.09,350.26800537109375,409.9400939941406
10/7/2021,140.14132690429688,284.77081298828125,353.4817810058594,413.48431396484375
10/8/2021,139.7599334716797,284.77081298828125,351.71905517578125,412.7302551269531
10/11/2021,139.67190551757812,284.1720275878906,349.02,409.7422180175781
10/12/2021,138.4004669189453,282.8681945800781,347.8041687011719,408.7336120605469
10/13/2021,137.8136444091797,286.18,350.59,410.2040710449219
10/14/2021,140.6009979248047,292.4007873535156,357.0460205078125,417.10394287109375
